model,dataset_size,augmentation,accuracy,precision,recall,f1,training_time,inference_time,loss
naive_bayes,0.1,baseline,0.8980263157894737,0.8975818088586998,0.8980263157894737,0.8976236988648165,0,4.7791317889564915e-05,0.0
naive_bayes,0.1,synonym,0.8960526315789473,0.8956429374274106,0.8960526315789473,0.8956673387805251,0,4.290844264783357e-05,0.0
naive_bayes,0.1,deletion,0.8968421052631579,0.8963853308669317,0.8968421052631579,0.8964479602632001,0,4.435667866154721e-05,0.0
naive_bayes,0.1,synonym_deletion,0.8961842105263158,0.8957773262289277,0.8961842105263158,0.8958036101237254,0,4.725591132515355e-05,0.0
naive_bayes,0.1,synonym_deletion_swap,0.8957894736842106,0.8953603922130828,0.8957894736842106,0.8954007143527953,0,4.49605991965846e-05,0.0
naive_bayes,0.5,baseline,0.910921052631579,0.9105177702973251,0.910921052631579,0.910595963940775,0,5.473328264136063e-05,0.0
naive_bayes,0.5,synonym,0.9114473684210527,0.9110870729474003,0.9114473684210527,0.9111466586447763,0,5.6596210128382635e-05,0.0
naive_bayes,0.5,deletion,0.9119736842105263,0.9116417896590201,0.9119736842105263,0.9116735079636253,0,5.752281138771459e-05,0.0
naive_bayes,0.5,synonym_deletion,0.9110526315789473,0.9106878663247682,0.9110526315789473,0.9107575340548262,0,5.7178672991300885e-05,0.0
naive_bayes,0.5,synonym_deletion_swap,0.9096052631578947,0.9092253355290599,0.9096052631578947,0.9092964463983501,0,6.102364314229865e-05,0.0
naive_bayes,1.0,baseline,0.9171052631578948,0.9168242883276543,0.9171052631578948,0.916869504546229,0,9.012231701298764e-05,0.0
naive_bayes,1.0,synonym,0.9163157894736842,0.9160207782915861,0.9163157894736842,0.9160740553976805,0,9.794250914925023e-05,0.0
naive_bayes,1.0,deletion,0.9160526315789473,0.9157752530466312,0.9160526315789473,0.9158247263221659,0,6.0941953408090694e-05,0.0
naive_bayes,1.0,synonym_deletion,0.9164473684210527,0.9161453738503008,0.9164473684210527,0.9161952540961458,0,7.935025190052234e-05,0.0
naive_bayes,1.0,synonym_deletion_swap,0.916578947368421,0.9162384414098934,0.916578947368421,0.9163268359612505,0,7.116800860354775e-05,0.0
